,Cement,Blast Furnace Slag,Fly Ash,Water,Superplastic,Coarse Aggregate,Fine Aggregate,Age,Compressive strength
0,54.0,107.40626118067978,108.81465517241375,162.0,2.5,14.0,676.0,28,79.99
1,54.0,107.40626118067978,108.81465517241375,162.0,2.5,155.0,676.0,28,61.89
2,332.5,142.5,108.81465517241375,228.0,8.924116743471586,932.0,594.0,27,4.27
4,198.6,132.4,108.81465517241375,192.0,8.924116743471586,978.4,825.5,36,44.3
5,266.0,114.0,108.81465517241375,228.0,8.924116743471586,932.0,67.0,9,47.3
7,38.0,95.0,108.81465517241375,228.0,8.924116743471586,932.0,594.0,28,36.45
8,266.0,114.0,108.81465517241375,228.0,8.924116743471586,932.0,67.0,28,45.85
9,475.0,107.40626118067978,108.81465517241375,228.0,8.924116743471586,932.0,594.0,28,39.29
10,198.6,132.4,108.81465517241375,192.0,8.924116743471586,978.4,825.5,9,38.74
11,198.6,132.4,108.81465517241375,192.0,8.924116743471586,978.4,825.5,28,28.22
12,230.37981744421856,47.5,108.81465517241375,228.0,8.924116743471586,932.0,594.0,27,43.13
13,19.0,19.0,108.81465517241375,228.0,8.924116743471586,932.0,67.0,9,42.33
14,34.0,76.0,108.81465517241375,228.0,8.924116743471586,932.0,67.0,28,47.81
15,38.0,107.40626118067978,108.81465517241375,228.0,8.924116743471586,932.0,67.0,9,52.98
16,139.6,29.4,108.81465517241375,192.0,8.924116743471586,147.0,86.9,9,39.36
18,38.0,95.0,108.81465517241375,228.0,8.924116743471586,932.0,594.0,9,4.56
19,475.0,107.40626118067978,108.81465517241375,228.0,8.924116743471586,932.0,594.0,18,42.63
20,427.5,47.5,108.81465517241375,228.0,8.924116743471586,932.0,594.0,18,41.84
21,139.6,29.4,108.81465517241375,192.0,8.924116743471586,147.0,86.9,28,28.24
22,139.6,29.4,108.81465517241375,192.0,8.924116743471586,147.0,86.9,3,8.63
23,139.6,29.4,108.81465517241375,192.0,8.924116743471586,147.0,86.9,18,44.28
25,38.0,107.40626118067978,108.81465517241375,228.0,8.924116743471586,932.0,67.0,27,53.36
26,38.0,95.0,108.81465517241375,228.0,8.924116743471586,932.0,594.0,27,41.15
27,342.0,38.0,108.81465517241375,228.0,8.924116743471586,932.0,67.0,18,52.12
28,427.5,47.5,108.81465517241375,228.0,8.924116743471586,932.0,594.0,28,37.43
29,475.0,107.40626118067978,108.81465517241375,228.0,8.924116743471586,932.0,594.0,7,38.64
32,198.6,132.4,108.81465517241375,192.0,8.924116743471586,978.4,825.5,18,41.72
33,475.0,107.40626118067978,108.81465517241375,228.0,8.924116743471586,932.0,594.0,27,42.13
35,237.5,237.5,108.81465517241375,228.0,8.924116743471586,932.0,594.0,27,38.48
37,332.5,142.5,108.81465517241375,228.0,8.924116743471586,932.0,594.0,9,37.72
38,475.0,107.40626118067978,108.81465517241375,228.0,8.924116743471586,932.0,594.0,9,42.23
39,230.37981744421856,237.5,108.81465517241375,228.0,8.924116743471586,932.0,594.0,18,36.25
40,342.0,38.0,108.81465517241375,228.0,8.924116743471586,932.0,67.0,9,5.46
43,38.0,107.40626118067978,108.81465517241375,228.0,8.924116743471586,932.0,67.0,18,53.14
44,427.5,47.5,108.81465517241375,228.0,8.924116743471586,932.0,594.0,9,41.54
45,427.5,47.5,108.81465517241375,228.0,8.924116743471586,932.0,594.0,7,35.76
46,349.0,107.40626118067978,108.81465517241375,192.0,8.924116743471586,147.0,86.9,3,15.49
47,38.0,95.0,108.81465517241375,228.0,8.924116743471586,932.0,594.0,18,4.76
48,237.5,237.5,108.81465517241375,228.0,8.924116743471586,932.0,594.0,7,26.26
49,38.0,95.0,108.81465517241375,228.0,8.924116743471586,932.0,594.0,7,32.82
50,332.5,142.5,108.81465517241375,228.0,8.924116743471586,932.0,594.0,18,39.78
51,19.0,19.0,108.81465517241375,228.0,8.924116743471586,932.0,67.0,18,46.93
52,237.5,237.5,108.81465517241375,228.0,8.924116743471586,932.0,594.0,9,33.12
53,34.0,76.0,108.81465517241375,228.0,8.924116743471586,932.0,67.0,9,49.19
54,139.6,29.4,108.81465517241375,192.0,8.924116743471586,147.0,86.9,7,14.59
55,198.6,132.4,108.81465517241375,192.0,8.924116743471586,978.4,825.5,7,14.64
57,198.6,132.4,108.81465517241375,192.0,8.924116743471586,978.4,825.5,3,9.13
58,34.0,76.0,108.81465517241375,228.0,8.924116743471586,932.0,67.0,18,5.95
59,332.5,142.5,108.81465517241375,228.0,8.924116743471586,932.0,594.0,28,33.2
60,34.0,76.0,108.81465517241375,228.0,8.924116743471586,932.0,67.0,27,54.38
61,266.0,114.0,108.81465517241375,228.0,8.924116743471586,932.0,67.0,27,51.73
62,31.0,107.40626118067978,108.81465517241375,192.0,8.924116743471586,971.0,85.6,3,9.87
63,19.0,19.0,108.81465517241375,228.0,8.924116743471586,932.0,67.0,27,5.66
64,266.0,114.0,108.81465517241375,228.0,8.924116743471586,932.0,67.0,18,48.7
65,230.37981744421856,38.0,108.81465517241375,228.0,8.924116743471586,932.0,67.0,27,55.64
66,139.6,29.4,108.81465517241375,192.0,8.924116743471586,147.0,86.9,36,44.7
67,332.5,142.5,108.81465517241375,228.0,8.924116743471586,932.0,594.0,7,3.28
68,19.0,19.0,108.81465517241375,228.0,8.924116743471586,932.0,67.0,28,4.86
69,485.0,107.40626118067978,108.81465517241375,146.0,8.924116743471586,112.0,8.0,28,71.99
70,374.0,189.2,108.81465517241375,17.1,1.1,926.1,756.7,3,34.4
71,313.3,262.2,108.81465517241375,175.5,8.6,146.9,611.8,3,28.8
72,425.0,16.3,108.81465517241375,153.5,16.5,852.1,887.1,3,33.4
73,425.0,16.3,108.81465517241375,151.4,18.6,936.0,83.7,3,36.39
75,475.0,118.8,108.81465517241375,181.1,8.9,852.1,781.5,3,37.8
77,425.0,16.3,108.81465517241375,153.5,16.5,852.1,887.1,3,33.4
78,388.6,97.1,108.81465517241375,157.9,12.1,852.1,925.7,3,28.96
80,425.0,16.3,108.81465517241375,153.5,16.5,852.1,887.1,3,33.4
81,318.8,212.5,108.81465517241375,155.7,14.3,852.1,88.4,3,25.23
82,41.8,94.7,108.81465517241375,147.4,11.4,946.8,852.1,3,42.0
83,362.6,189.0,108.81465517241375,164.9,11.6,944.7,755.8,3,35.31
85,379.5,151.2,108.81465517241375,153.9,15.9,1134.3,65.0,3,28.6
86,362.6,189.0,108.81465517241375,164.9,11.6,944.7,755.8,3,35.31
87,286.3,2.9,108.81465517241375,144.7,11.2,14.6,83.7,3,24.46
88,362.6,189.0,108.81465517241375,164.9,11.6,944.7,755.8,3,35.31
89,439.0,177.0,108.81465517241375,186.0,11.1,884.9,77.9,3,39.31
